Format,1.0B,
Memory Length,10000,
IntpDistance,0,
Trigger Address,4069,
Trigger Level,1.400E+00,
Source,CH1,
Vertical Units,A,
Vertical Units Div,0,
Vertical Units Extend Div,36,
Label, ,
Probe Type,1,
Probe Ratio,1.000E+02,
Vertical Scale,2.000E-01,
Vertical Position,-6.080E-01,
Horizontal Units,S,
Horizontal Scale,1.000E-03,
Horizontal Position,9.300E-04,
Horizontal Mode,Main,
SincET Mode,Real Time,
Sampling Period,1.000E-06,
Horizontal Old Scale,1.000E-03,
Horizontal Old Position,9.300E-04,
Firmware,V1.17,
Mode,Detail,
Waveform Data,
-4.070000e-03,-9.60e-02,
-4.069000e-03,1.12e-01,
-4.068000e-03,1.84e-01,
-4.067000e-03,2.48e-01,
-4.066000e-03,3.44e-01,
-4.065000e-03,2.24e-01,
-4.064000e-03,1.52e-01,
-4.063000e-03,1.28e-01,
-4.062000e-03,8.80e-02,
-4.061000e-03,1.52e-01,
-4.060000e-03,-2.32e-01,
-4.059000e-03,8.00e-03,
-4.058000e-03,1.44e-01,
-4.057000e-03,4.80e-02,
-4.056000e-03,2.64e-01,
-4.055000e-03,1.04e-01,
-4.054000e-03,2.40e-02,
-4.053000e-03,1.12e-01,
-4.052000e-03,3.20e-02,
-4.051000e-03,-8.00e-03,
-4.050000e-03,7.20e-02,
-4.049000e-03,3.20e-02,
-4.048000e-03,-8.00e-03,
-4.047000e-03,-1.60e-02,
-4.046000e-03,3.20e-02,
-4.045000e-03,2.48e-01,
-4.044000e-03,8.80e-02,
-4.043000e-03,2.32e-01,
-4.042000e-03,-4.80e-02,
-4.041000e-03,-4.80e-02,
-4.040000e-03,-7.20e-02,
-4.039000e-03,-8.80e-02,
-4.038000e-03,-5.60e-02,
-4.037000e-03,3.20e-02,
-4.036000e-03,-8.00e-03,
-4.035000e-03,6.40e-02,
-4.034000e-03,-1.60e-02,
-4.033000e-03,-5.60e-02,
-4.032000e-03,4.80e-02,
-4.031000e-03,7.20e-02,
-4.030000e-03,-2.48e-01,
-4.029000e-03,-1.68e-01,
-4.028000e-03,-2.16e-01,
-4.027000e-03,4.80e-02,
-4.026000e-03,3.20e-02,
-4.025000e-03,1.92e-01,
-4.024000e-03,2.40e-02,
-4.023000e-03,4.80e-02,
-4.022000e-03,2.40e-02,
-4.021000e-03,8.00e-03,
-4.020000e-03,-8.00e-03,
-4.019000e-03,-8.00e-03,
-4.018000e-03,-3.20e-02,
-4.017000e-03,-1.60e-02,
-4.016000e-03,-1.60e-02,
-4.015000e-03,2.24e-01,
-4.014000e-03,1.92e-01,
-4.013000e-03,8.00e-03,
-4.012000e-03,-1.60e-02,
-4.011000e-03,-1.12e-01,
-4.010000e-03,-1.36e-01,
-4.009000e-03,-1.92e-01,
-4.008000e-03,-1.68e-01,
-4.007000e-03,-4.80e-02,
-4.006000e-03,2.40e-02,
-4.005000e-03,-3.20e-02,
-4.004000e-03,8.00e-03,
-4.003000e-03,1.04e-01,
-4.002000e-03,3.44e-01,
-4.001000e-03,-9.60e-02,
-4.000000e-03,-9.60e-02,
-3.999000e-03,-2.72e-01,
-3.998000e-03,-5.60e-02,
-3.997000e-03,7.20e-02,
-3.996000e-03,-1.60e-02,
-3.995000e-03,-8.00e-03,
-3.994000e-03,1.12e-01,
-3.993000e-03,-4.80e-02,
-3.992000e-03,2.40e-02,
-3.991000e-03,-5.60e-02,
-3.990000e-03,-9.60e-02,
-3.989000e-03,-9.60e-02,
-3.988000e-03,-5.60e-02,
-3.987000e-03,8.00e-03,
-3.986000e-03,-8.00e-03,
-3.985000e-03,-1.60e-02,
-3.984000e-03,-4.80e-02,
-3.983000e-03,2.40e-02,
-3.982000e-03,-1.60e-02,
-3.981000e-03,-1.60e-02,
-3.980000e-03,-1.36e-01,
-3.979000e-03,-1.52e-01,
-3.978000e-03,-5.60e-02,
-3.977000e-03,4.80e-02,
-3.976000e-03,-4.80e-02,
-3.975000e-03,-1.68e-01,
-3.974000e-03,-2.08e-01,
-3.973000e-03,1.68e-01,
-3.972000e-03,-4.16e-01,
-3.971000e-03,-1.52e-01,
-3.970000e-03,-4.08e-01,
-3.969000e-03,-1.12e-01,
-3.968000e-03,-3.20e-02,
-3.967000e-03,-8.80e-02,
-3.966000e-03,-5.60e-02,
-3.965000e-03,-1.36e-01,
-3.964000e-03,-1.68e-01,
-3.963000e-03,-1.28e-01,
-3.962000e-03,-1.12e-01,
-3.961000e-03,-1.12e-01,
-3.960000e-03,-1.28e-01,
-3.959000e-03,-1.36e-01,
-3.958000e-03,8.80e-02,
-3.957000e-03,1.68e-01,
-3.956000e-03,-1.36e-01,
-3.955000e-03,4.80e-02,
-3.954000e-03,-8.80e-02,
-3.953000e-03,-1.52e-01,
-3.952000e-03,-8.80e-02,
-3.951000e-03,-1.36e-01,
-3.950000e-03,-7.20e-02,
-3.949000e-03,8.80e-02,
-3.948000e-03,8.00e-03,
-3.947000e-03,-1.60e-02,
-3.946000e-03,-5.60e-02,
-3.945000e-03,8.00e-03,
-3.944000e-03,-5.60e-02,
-3.943000e-03,-2.88e-01,
-3.942000e-03,-1.68e-01,
-3.941000e-03,-2.88e-01,
-3.940000e-03,1.52e-01,
-3.939000e-03,3.20e-02,
-3.938000e-03,4.80e-02,
-3.937000e-03,7.20e-02,
-3.936000e-03,-3.20e-02,
-3.935000e-03,-5.60e-02,
-3.934000e-03,-9.60e-02,
-3.933000e-03,8.00e-03,
-3.932000e-03,1.28e-01,
-3.931000e-03,-8.00e-03,
-3.930000e-03,-4.80e-02,
-3.929000e-03,-3.36e-01,
-3.928000e-03,4.80e-02,
-3.927000e-03,7.20e-02,
-3.926000e-03,7.20e-02,
-3.925000e-03,-8.80e-02,
-3.924000e-03,-1.92e-01,
-3.923000e-03,-7.20e-02,
-3.922000e-03,-3.20e-02,
-3.921000e-03,3.20e-02,
-3.920000e-03,-1.60e-02,
-3.919000e-03,-3.20e-02,
-3.918000e-03,-1.60e-02,
-3.917000e-03,-4.80e-02,
-3.916000e-03,-1.60e-02,
-3.915000e-03,3.20e-02,
-3.914000e-03,8.00e-03,
-3.913000e-03,-4.80e-02,
-3.912000e-03,2.40e-02,
-3.911000e-03,1.68e-01,
-3.910000e-03,1.04e-01,
-3.909000e-03,-4.80e-02,
-3.908000e-03,-7.20e-02,
-3.907000e-03,-8.00e-03,
-3.906000e-03,-3.20e-02,
-3.905000e-03,-4.80e-02,
-3.904000e-03,-8.00e-03,
-3.903000e-03,7.20e-02,
-3.902000e-03,2.40e-02,
-3.901000e-03,1.12e-01,
-3.900000e-03,-3.36e-01,
-3.899000e-03,-3.20e-02,
-3.898000e-03,8.00e-03,
-3.897000e-03,1.28e-01,
-3.896000e-03,-1.60e-02,
-3.895000e-03,-4.80e-02,
-3.894000e-03,8.00e-03,
-3.893000e-03,-8.00e-03,
-3.892000e-03,-5.60e-02,
-3.891000e-03,7.20e-02,
-3.890000e-03,-1.60e-02,
-3.889000e-03,-9.60e-02,
-3.888000e-03,-7.20e-02,
-3.887000e-03,-3.20e-02,
-3.886000e-03,4.80e-02,
-3.885000e-03,-8.80e-02,
-3.884000e-03,1.04e-01,
-3.883000e-03,2.72e-01,
-3.882000e-03,1.04e-01,
-3.881000e-03,1.84e-01,
-3.880000e-03,8.00e-03,
-3.879000e-03,-8.00e-03,
-3.878000e-03,7.20e-02,
-3.877000e-03,1.04e-01,
-3.876000e-03,1.84e-01,
-3.875000e-03,2.48e-01,
-3.874000e-03,1.52e-01,
-3.873000e-03,2.72e-01,
-3.872000e-03,1.04e-01,
-3.871000e-03,3.20e-02,
-3.870000e-03,2.48e-01,
-3.869000e-03,-8.80e-02,
-3.868000e-03,1.84e-01,
-3.867000e-03,2.40e-02,
-3.866000e-03,8.00e-03,
